,tamanio,autovalores,autovalorMax,autovalorMin,rangoAutovalores
0,"(2, 2)",[2.13039600e+00 1.53733452e-04],2.130396000427827,0.00015373345210623057,2.1302422669757206
1,"(2, 2)",[5.0753714  0.10702353],5.075371399352088,0.10702352776386115,4.968347871588227
2,"(2, 2)",[8.90007051 1.18815833],8.900070505524443,1.1881583300004497,7.711912175523993
3,"(2, 2)",[5.48386614e+00 3.73334809e-04],5.483866144949568,0.00037333480919460316,5.4834928101403735
4,"(2, 2)",[12.15494409 24.71610474],24.71610474187657,12.154944088154375,12.561160653722196
5,"(2, 2)",[ 8.75063076 46.39449537],46.394495365909016,8.750630759719233,37.64386460618978
6,"(2, 2)",[ 0.29897966 62.46407328],62.46407328423845,0.29897965666762616,62.165093627570826
7,"(2, 2)",[  5.9627575  102.16470172],102.16470172166825,5.962757504342804,96.20194421732545
8,"(2, 2)",[158.66209086   7.18527802],158.66209085514794,7.185278021252245,151.47681283389568
9,"(2, 2)",[14.75951612 42.09381201],42.09381201359882,14.759516120117325,27.334295893481496
10,"(2, 2)",[113.35784415   0.98003576],113.35784415258254,0.9800357597798719,112.37780839280268
11,"(2, 2)",[27.3672199  96.73657768],96.73657767798048,27.367219898373683,69.36935777960679
12,"(2, 2)",[  2.43106897 335.12576803],335.1257680264457,2.4310689720623486,332.69469905438336
13,"(2, 2)",[347.52010374  34.74305376],347.5201037393406,34.743053761371996,312.7770499779686
14,"(2, 2)",[  1.91171157 323.595325  ],323.59532500294665,1.9117115694444067,321.6836134335023
15,"(2, 2)",[  0.45912315 223.81172924],223.81172924361314,0.4591231507568665,223.35260609285626
16,"(2, 2)",[ 15.63430069 476.94905831],476.9490583099972,15.634300692651209,461.314757617346
17,"(2, 2)",[ 42.55227597 460.47875157],460.47875157317236,42.552275970987125,417.92647560218523
18,"(2, 2)",[ 21.25187664 560.05436201],560.0543620069466,21.251876637335386,538.8024853696112
19,"(2, 2)",[  3.32878308 513.12533118],513.1253311833958,3.3287830780103036,509.7965481053855
20,"(2, 2)",[ 52.03017743 530.9002425 ],530.9002424966145,52.030177427842034,478.8700650687725
21,"(2, 2)",[390.80157139   2.52956973],390.8015713877694,2.5295697266918467,388.2720016610775
22,"(2, 2)",[956.64842407  13.56358117],956.6484240718837,13.56358117001713,943.0848429018665
23,"(2, 2)",[648.79366327   1.00591759],648.7936632749519,1.0059175894115526,647.7877456855404
24,"(2, 2)",[  7.46705627 761.62547703],761.6254770275432,7.467056273823687,754.1584207537195
25,"(2, 2)",[ 19.45893886 708.72391912],708.7239191213862,19.458938856558575,689.2649802648276
26,"(2, 2)",[  1.37028558 539.55360708],539.5536070755768,1.3702855837628931,538.1833214918139
27,"(2, 2)",[867.03144467 142.12929195],867.0314446690226,142.12929195028204,724.9021527187406
28,"(2, 2)",[2.88115050e-02 1.82760432e+03],1827.6043192990564,0.02881150496864393,1827.5755077940878
29,"(2, 2)",[ 158.10597322 1387.06340523],1387.0634052273854,158.10597321973285,1228.9574320076526
30,"(2, 2)",[4.92164442e-02 1.89494779e+03],1894.947792610771,0.049216444235298695,1894.8985761665358
31,"(2, 2)",[1485.06771004   33.63475242],1485.0677100427667,33.63475241654949,1451.4329576262173
32,"(2, 2)",[1227.30585195   13.03262525],1227.3058519502517,13.03262525164331,1214.2732266986084
33,"(2, 2)",[  68.51260853 1999.00766932],1999.0076693187204,68.51260853248232,1930.4950607862381
34,"(2, 2)",[   2.47776959 1691.02793825],1691.0279382511435,2.477769587614148,1688.5501686635293
35,"(2, 2)",[ 44.55779935 846.18182232],846.1818223216842,44.5577993473845,801.6240229742997
36,"(2, 2)",[  11.67080425 1501.72320441],1501.7232044140746,11.67080425171389,1490.0524001623608
37,"(2, 2)",[ 357.05327286 1894.2238664 ],1894.223866397327,357.0532728617536,1537.1705935355733
38,"(2, 2)",[2843.70044493  326.7380598 ],2843.700444931633,326.7380598020528,2516.96238512958
39,"(2, 2)",[3054.81162298  154.86562189],3054.8116229827015,154.86562188919578,2899.946001093506
40,"(2, 2)",[ 315.45982288 1903.04472709],1903.0447270857437,315.45982287831475,1587.584904207429
41,"(2, 2)",[1824.62748263   58.90235807],1824.627482633683,58.902358070267496,1765.7251245634156
42,"(2, 2)",[1981.56026555  170.84315193],1981.5602655543064,170.8431519290616,1810.7171136252448
43,"(2, 2)",[  75.65496346 2372.40080354],2372.4008035448005,75.65496345611109,2296.7458400886894
44,"(2, 2)",[  15.21522916 2596.2266199 ],2596.2266198980183,15.21522916285312,2581.011390735165
45,"(2, 2)",[ 242.52711199 3184.54205121],3184.542051206795,242.52711198808493,2942.01493921871
46,"(2, 2)",[   9.4302038  2976.97776569],2976.9777656853885,9.430203797694048,2967.5475618876944
47,"(2, 2)",[1898.85920303  486.97445134],1898.8592030285063,486.97445134330474,1411.8847516852015
48,"(2, 2)",[2759.63491694  348.7974984 ],2759.634916944868,348.7974984030753,2410.837418541793
49,"(2, 2)",[ 234.65285229 5109.92289026],5109.922890255889,234.6528522893118,4875.270037966577
50,"(2, 2)",[3137.69974566  315.10315636],3137.699745661015,315.1031563561847,2822.5965893048306
51,"(2, 2)",[3842.47104916   53.85199826],3842.471049159484,53.851998257795344,3788.6190509016888
52,"(2, 2)",[8.51584250e-01 2.24734031e+03],2247.340308994577,0.8515842502504256,2246.4887247443266
53,"(2, 2)",[  21.69589537 2843.52295709],2843.522957086747,21.69589537073398,2821.827061716013
54,"(2, 2)",[1660.8497233    71.49220996],1660.8497233003784,71.49220995684425,1589.3575133435343
55,"(2, 2)",[3.90440754e+00 5.70273010e+03],5702.730103627787,3.904407543251182,5698.825696084536
56,"(2, 2)",[3572.94791824  331.96636179],3572.9479182404048,331.9663617862916,3240.981556454113
57,"(2, 2)",[2295.01060172 1235.08669629],2295.0106017212356,1235.0866962880802,1059.9239054331554
58,"(2, 2)",[2598.61360207  129.22823135],2598.613602073515,129.22823135258386,2469.385370720931
59,"(2, 2)",[ 202.98117735 2321.88743192],2321.8874319245297,202.98117734744187,2118.9062545770876
60,"(2, 2)",[3558.23864723  107.59681444],3558.23864722777,107.59681443669095,3450.6418327910787
61,"(2, 2)",[4817.9591051   640.33330319],4817.9591050965055,640.3333031924617,4177.625801904043
