,matrices,tamanio,autovalores,autovalorMax,autovalorMin,rangoAutovalores
0,"[[0. 0.]
 [0. 0.]]","(2, 2)",[0. 0.],0.0,0.0,0.0
1,"[[0.33624543 0.64036904]
 [0.64036904 1.87647295]]","(2, 2)",[0.10478657 2.1079318 ],2.1079318025602136,0.10478656950238263,2.0031452330578308
2,"[[2.27424092 3.00512878]
 [3.00512878 3.99992835]]","(2, 2)",[0.01053729 6.26363198],6.263631978411315,0.010537293244669232,6.253094685166646
3,"[[ 7.30193894 10.39481402]
 [10.39481402 15.28990684]]","(2, 2)",[ 0.16021159 22.43163419],22.43163419258147,0.1602115853313819,22.271422607250088
4,"[[ 5.84773771  7.025061  ]
 [ 7.025061   13.03910316]]","(2, 2)",[ 1.55162619 17.33521468],17.335214675227924,1.5516261909820042,15.78358848424592
5,"[[6.722558   2.981689  ]
 [2.981689   2.18203206]]","(2, 2)",[8.1999027  0.70468737],8.19990269751827,0.7046873672466181,7.495215330271653
6,"[[33.95548178 19.33518528]
 [19.33518528 13.50474892]]","(2, 2)",[45.60264397  1.85758672],45.60264396856975,1.857586724593757,43.74505724397599
7,"[[56.75779645 47.60133419]
 [47.60133419 41.4301066 ]]","(2, 2)",[97.30828068  0.87962238],97.3082806776822,0.8796223786140729,96.42865829906813
8,"[[60.97791989 67.24305381]
 [67.24305381 74.18610001]]","(2, 2)",[1.54332131e-02 1.35148587e+02],135.14858668397812,0.01543321314632351,135.13315347083181
9,"[[100.31458274  29.39051163]
 [ 29.39051163  24.62143768]]","(2, 2)",[110.38632849  14.54969194],110.38632848529974,14.549691942478201,95.83663654282154
10,"[[66.08679062 24.60517665]
 [24.60517665 10.93790844]]","(2, 2)",[75.46860095  1.5560981 ],75.46860095208623,1.556098103640437,73.9125028484458
11,"[[60.10892733  9.13158484]
 [ 9.13158484  1.59351708]]","(2, 2)",[61.5008413  0.2016031],61.50084130018389,0.20160310429382577,61.29923819589007
